brand,model,transmission,age,fuel,engine,km,owner,price,location,mileage,power,seats,type
mercedes-benz,e-class,automatic,9,diesel,2148,72000,,1155000,,10,170,5,
mahindra,scorpio,manual,4,diesel,1997,110000,,1120000,,15.4,120,7,
maruti,ignis,manual,4,petrol,1197,15000,,545000,,20.89,81.8,5,
mercedes-benz,e-class,automatic,7,diesel,2987,69000,,2490000,,13,265,5,
volkswagen,polo,manual,7,diesel,1498,36000,,465000,,20.14,88.8,5,
audi,a8,automatic,6,diesel,2967,55000,,4450000,,16.77,246.74,4,
hyundai,verna,manual,8,diesel,1582,60000,,460000,,22.32,126.32,5,
honda,city,manual,5,diesel,1498,85000,,900000,,26,98.6,5,
maruti,wagon r,manual,6,petrol,998,20000,,325000,,20.51,67.04,5,
mercedes-benz,c-class,automatic,4,diesel,2143,58000,,2800000,,19.71,201.15,5,
honda,city,manual,3,diesel,1498,40000,,940000,,25.6,97.9,5,
ford,freestyle,manual,1,petrol,1194,3957,,570000,,19,94.68,5,
maruti,wagon r,manual,4,cng,998,75000,,375000,,33.54,67.04,5,
maruti,ertiga,manual,4,petrol,1462,40000,,750000,,19.34,103,7,
bmw,7,automatic,10,diesel,2993,78000,,1645000,,16.46,258,5,
volkswagen,vento,manual,6,petrol,1598,52000,,495000,,16.09,103.2,5,
toyota,innova,manual,3,diesel,2393,95000,,1194000,,13.68,147.8,7,
ford,ecosport,manual,2,diesel,1498,5500,,975000,,23,98.96,5,
honda,city,manual,12,petrol,1497,65344,,295000,,17,118,5,
maruti,ciaz,manual,2,petrol,1462,14000,,825000,,21.56,103.25,5,
kia,seltos,manual,1,petrol,1497,8000,,1290000,,16.8,113.4,5,
toyota,fortuner,automatic,3,diesel,2755,32000,,2950000,,12.9,174.5,7,
audi,a4,automatic,8,diesel,1968,75000,,1350000,,17.11,174.33,5,
maruti,ciaz,manual,2,petrol,1373,2500,,849000,,20.73,91.1,5,
tata,nexon,manual,3,petrol,1198,35000,,700000,,17,108.5,5,
maruti,alto,manual,9,cng,796,65000,,175000,,30.46,47.3,5,
hyundai,venue,manual,2,diesel,1396,21280,,900000,,23.7,88.76,5,
hyundai,i10,manual,7,petrol,1086,49000,,265000,,19.81,68.05,5,
audi,a6,automatic,9,diesel,1968,44000,,1325000,,17.68,174.33,5,
maruti,swift dzire,manual,7,petrol,1197,74326,,400000,,19.1,85.8,5,
mahindra,xuv500,manual,4,diesel,2179,50000,,1350000,,16,140,7,
honda,amaze,manual,4,petrol,1198,51000,,485000,,17.8,86.7,5,
hyundai,i10,manual,13,petrol,1086,61000,,165000,,19.81,68.05,5,
honda,city,manual,13,petrol,1497,59500,,220000,,17,118,5,
honda,jazz,manual,4,petrol,1199,525000,,525000,,18.7,88.7,5,
bmw,z4,automatic,5,petrol,2979,17000,,4800000,,10.37,301.72,2,
honda,city,manual,5,petrol,1497,20000,,710000,,17.8,117.3,5,
mahindra,kuv100,manual,3,diesel,1198,80000,,450000,,25.32,77,6,
hyundai,i10,manual,9,petrol,1086,50000,,230000,,19.81,68.05,5,
bmw,3,automatic,9,diesel,1995,60000,,1250000,,16.07,181,4,
hyundai,grand,manual,7,petrol,1197,56454,,375000,,18.9,82,5,
ford,aspire,manual,5,diesel,1498,55000,,435000,,25.83,99,5,
hyundai,verna,manual,5,petrol,1591,23251,,700000,,17.01,121.3,5,
maruti,swift,manual,7,diesel,1248,55000,,360000,,28.4,74,5,
honda,city,manual,12,petrol,1497,65000,,270000,,17,118,5,
renault,duster,manual,9,diesel,1461,68000,,370000,,19.87,83.8,5,
maruti,swift dzire,manual,4,diesel,1248,77500,,525000,,28.4,74.02,5,
toyota,innova,manual,9,diesel,2494,70000,,575000,,12.99,100,7,
maruti,baleno,manual,5,petrol,1197,60201,,490000,,21.01,81.8,5,
maruti,alto,manual,10,petrol,998,24895,,185000,,20.92,67.1,5,
skoda,rapid,manual,6,diesel,1498,70000,,499000,,21.14,103.52,5,
hyundai,venue,manual,2,petrol,998,27000,,1025000,,18.27,118.35,5,
hyundai,verna,automatic,3,diesel,1582,48000,,1090000,,22,126.2,5,
maruti,baleno,manual,4,diesel,1248,60000,,599000,,27.39,74,5,
maruti,wagon r,manual,7,petrol,998,20000,,300000,,20.51,67.04,5,
mercedes-benz,e-class,automatic,4,diesel,1950,41000,,4100000,,16.1,191.7,5,
maruti,baleno,automatic,4,petrol,1197,20000,,700000,,19.56,81.8,5,
maruti,vitara,automatic,2,diesel,1248,22000,,900000,,24.3,88.5,5,
hyundai,grand,manual,7,petrol,1197,42000,,400000,,18.9,81.86,5,
honda,city,manual,7,diesel,1498,68000,,495000,,26,98.6,5,
land rover,rover,automatic,3,diesel,2993,38000,,3980000,,18,255,7,
honda,amaze,manual,6,petrol,1199,29428,,355000,,18.6,88.76,5,
bmw,3,automatic,8,diesel,1995,59000,,835000,,13.2,170,5,
toyota,fortuner,automatic,6,diesel,2982,47000,,1940000,,12.55,168.5,7,
ford,endeavour,automatic,9,diesel,2953,58000,,750000,,11.4,153.86,7,
